ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-1479,from_hex,Buffer overflow in from_hex(),Incorrect system behaviour or safety-function failure originating in from_hex (function),8,4,5,160,high,src/sign/sign.cpp,100
FMEA-1467,make_verify002,Buffer overflow in make_verify002(),Incorrect system behaviour or safety-function failure originating in make_verify002 (function),8,4,5,160,high,src/engine/rules.cpp,333
FMEA-611,write_dot,Buffer overflow in write_dot(),Incorrect system behaviour or safety-function failure originating in write_dot (function),8,4,5,160,high,src/boundary/boundary.hpp,31
FMEA-335,file_suppressed,Buffer overflow in file_suppressed(),Incorrect system behaviour or safety-function failure originating in file_suppressed (function),8,4,5,160,high,src/lint/lint.cpp,50
FMEA-1111,fn_scope_visitor,Buffer overflow in fn_scope_visitor(),Incorrect system behaviour or safety-function failure originating in fn_scope_visitor (function),8,4,5,160,high,src/ast/ast.cpp,171
FMEA-1303,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/iec61508/iec61508.cpp,142
FMEA-331,suppressed,Buffer overflow in suppressed(),Incorrect system behaviour or safety-function failure originating in suppressed (function),8,4,5,160,high,src/lint/lint.cpp,44
FMEA-1471,make_default_engine,Buffer overflow in make_default_engine(),Incorrect system behaviour or safety-function failure originating in make_default_engine (function),8,4,5,160,high,src/engine/engine.cpp,38
FMEA-615,scan,Buffer overflow in scan(),Incorrect system behaviour or safety-function failure originating in scan (function),8,4,5,160,high,src/boundary/boundary.cpp,13
FMEA-327,for_each_source,Buffer overflow in for_each_source(),Incorrect system behaviour or safety-function failure originating in for_each_source (function),8,4,5,160,high,src/lint/lint.cpp,30
FMEA-947,render,Buffer overflow in render(),Incorrect system behaviour or safety-function failure originating in render (function),8,4,5,160,high,src/pr/pr.hpp,38
FMEA-1474,SHACtx,State corruption in SHACtx(),Incorrect system behaviour or safety-function failure originating in SHACtx (class),8,4,5,160,high,src/sign/sign.cpp,15
